BLAST Ortholog,Sequence Length
"WP_255788648.1 helix-turn-helix domain-containing protein, partial [Mycobacteroides abscessus]",36
"SIG84012.1 Putative transcriptional regulator, IclR [Mycobacteroides abscessus subsp. abscessus]",47
"PRC62597.1 IclR family transcriptional regulator, partial [Mycobacterium sp. ITM-2017-0098]",69
"PRC53453.1 IclR family transcriptional regulator, partial [Mycobacterium sp. ITM-2017-0098]",79
"WP_330867419.1 IclR family transcriptional regulator domain-containing protein, partial [Mycobacterium avium]",80
SLJ82516.1 pectin degradation repressor protein kdgR [Mycobacteroides abscessus subsp. abscessus],82
BBY76866.1 hypothetical protein MPRF_37650 [Mycolicibacterium parafortuitum],83
HTY29390.1 IclR family transcriptional regulator C-terminal domain-containing protein [Mycobacterium sp.],87
"EPQ79333.1 Transcriptional regulator, IclR family [Mycobacterium marinum str. Europe]",102
MDZ4268476.1 IclR family transcriptional regulator C-terminal domain-containing protein [Mycobacterium sp.],108
MBP0573857.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],109
UHJ58169.1 IclR family transcriptional regulator C-terminal domain-containing protein [Mycolicibacterium fortuitum],111
MBP0650187.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],112
SLI82326.1 pectin degradation repressor protein kdgR [Mycobacteroides abscessus subsp. abscessus],120
HEX7824178.1 IclR family transcriptional regulator C-terminal domain-containing protein [Mycobacterium sp.],123
HET9566268.1 IclR family transcriptional regulator C-terminal domain-containing protein [Mycobacterium sp.],129
HVQ51184.1 IclR family transcriptional regulator C-terminal domain-containing protein [Mycobacterium sp.],134
"SIM49416.1 Putative transcriptional regulator, IclR [Mycobacteroides abscessus subsp. abscessus]",163
"SIG83974.1 Putative transcriptional regulator, IclR [Mycobacteroides abscessus subsp. abscessus]",163
HZN79057.1 IclR family transcriptional regulator [Mycobacterium sp.],165
"WP_255793919.1 IclR family transcriptional regulator, partial [Mycobacteroides abscessus]",185
"WP_255784787.1 IclR family transcriptional regulator, partial [Mycobacteroides abscessus]",185
MEO6793354.1 IclR family transcriptional regulator [Mycobacterium sp.],190
BCZ25578.1 IclR family transcriptional regulator [Mycobacterium senriense],198
"WP_038861811.1 IclR family transcriptional regulator, partial [Mycobacterium avium]",198
BBX97628.1 transcriptional regulator [Mycobacterium lacus],208
"WP_396935219.1 IclR family transcriptional regulator, partial [Mycolicibacterium sp.]",211
WP_410429545.1 IclR family transcriptional regulator [Mycobacteroides abscessus],212
"WP_101906301.1 IclR family transcriptional regulator, partial [Mycolicibacterium setense]",214
HZE16003.1 IclR family transcriptional regulator [Mycobacterium sp.],214
"WP_255794180.1 IclR family transcriptional regulator, partial [Mycobacteroides abscessus]",215
MDT5177050.1 hypothetical protein [Mycobacterium sp.],215
WP_235684124.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],216
WP_396899248.1 IclR family transcriptional regulator [Mycolicibacterium sp.],216
WP_263996565.1 IclR family transcriptional regulator [Mycobacterium yunnanensis],216
"WP_068157430.1 IclR family transcriptional regulator, partial [Mycobacterium kubicae]",217
GFG89604.1 IclR family transcriptional regulator [Mycobacterium bourgelatii],217
BBY54501.1 IclR family transcriptional regulator [Mycolicibacillus koreensis],218
KXW69358.1 IclR family transcriptional regulator [Mycolicibacterium phlei DSM 43072],220
GAQ32103.1 iclR family transcriptional regulator [Mycobacterium pseudoshottsii JCM 15466],220
"ALI26208.1 Transcriptional regulator, IclR family [Mycolicibacterium fortuitum]",220
TDY08840.1 IclR family transcriptional regulator [Mycolicibacterium litorale],220
"ARR84392.1 transcriptional regulator, IclR family protein [Mycobacterium intracellulare subsp. yongonense]",220
AFC55291.1 hypothetical protein OCQ_37790 [Mycobacterium paraintracellulare],220
EUA21159.1 bacterial transcriptional regulator family protein [Mycobacterium kansasii 662],220
VCT89259.1 HTH-type transcriptional regulator KipR [Mycolicibacterium hassiacum DSM 44199],220
BBZ45093.1 transcriptional regulator [Mycobacterium parmense],220
EIU37147.1 putative transcriptional regulator [Mycobacteroides abscessus 6G-0125-S],221
"WP_373194043.1 IclR family transcriptional regulator, partial [Mycobacterium marinum]",222
"WP_261861088.1 IclR family transcriptional regulator, partial [Mycobacterium montefiorense]",223
MCW2567551.1 IclR family transcriptional regulator [Mycobacterium sp.],223
ODR08010.1 IclR family transcriptional regulator [Mycobacterium sherrisii],224
